PCA_1,PCA_2,Cluster,Persona
0.5854356072690042,0.17128239856393654,2,The Motivated Finishers
0.972634044485141,0.006132472308256838,3,The Loyal Referrals
-1.7522009929868714,0.9268487700590889,1,The Early Drop-Offs
0.9392040620733952,0.7290717954844833,2,The Motivated Finishers
0.6980526445251147,1.2501563664255306,2,The Motivated Finishers
0.47572188575533186,1.3506359682981244,2,The Motivated Finishers
1.0305584518475375,1.0220721800812704,2,The Motivated Finishers
0.27701183380568234,1.7093259649434727,2,The Motivated Finishers
0.5101139033165216,-0.7004180292092913,2,The Motivated Finishers
0.31658825472746643,0.8218269169030515,2,The Motivated Finishers
0.22760625540349474,0.29086425666812515,2,The Motivated Finishers
0.1896216904912854,0.7760327535865135,2,The Motivated Finishers
0.052785831405887836,0.533327781907426,2,The Motivated Finishers
0.6833075871968982,-0.1819580498438273,0,The Strong Starters
0.34468854359507306,-1.6130047024127467,3,The Loyal Referrals
-3.1585930004358778,-0.7176632102615601,1,The Early Drop-Offs
0.5916879791034514,1.3385062198889224,2,The Motivated Finishers
0.5952819812599025,0.3936729278826521,0,The Strong Starters
1.0698988559562033,0.5030097008324511,3,The Loyal Referrals
0.25541423310373057,-0.6588488038527656,0,The Strong Starters
0.4877038120346033,-0.4920389051408792,0,The Strong Starters
0.2818146065513114,-0.17934082004853003,0,The Strong Starters
0.13041291110732234,0.783803464700842,2,The Motivated Finishers
0.4740014454865928,0.6483437603246555,0,The Strong Starters
0.5752254346580356,1.475601204732327,2,The Motivated Finishers
0.3361307018424815,-1.3043939398959907,0,The Strong Starters
0.7354732378629802,-1.0957160427693424,3,The Loyal Referrals
0.7528544183066286,1.2888201636287564,2,The Motivated Finishers
0.7805303274914391,1.1145640766076006,2,The Motivated Finishers
0.6699131118694168,1.71924977811739,2,The Motivated Finishers
-2.707031056783132,0.7552427408339427,1,The Early Drop-Offs
0.833813632486279,0.5662133293250522,2,The Motivated Finishers
0.6607499702425749,0.7120757335744099,2,The Motivated Finishers
1.0029941472064299,0.07709475570611808,2,The Motivated Finishers
0.9490815672698725,-0.16973201362774196,3,The Loyal Referrals
1.0982476065646776,-0.3765672083242348,3,The Loyal Referrals
0.6012984454177123,0.796908142949217,2,The Motivated Finishers
0.7306404219846764,1.073846345098523,2,The Motivated Finishers
1.126395910792346,-0.3773058745090086,3,The Loyal Referrals
0.8991450734005509,0.8209422791442118,2,The Motivated Finishers
-1.8180974196946007,1.0520027248336934,1,The Early Drop-Offs
0.6644712217082535,0.05565155789338534,0,The Strong Starters
-0.27438025579769815,-2.049957325658016,0,The Strong Starters
0.6232660312184093,1.0734350505385102,2,The Motivated Finishers
0.24973619929870738,-2.4933926303353298,3,The Loyal Referrals
-0.5144812683097038,-0.09051762338631127,0,The Strong Starters
-3.805710388531561,-0.05192197922741311,1,The Early Drop-Offs
0.4474051886601435,0.04498162944932195,0,The Strong Starters
-4.4459053902396555,-0.4869250520272558,1,The Early Drop-Offs
0.14511872464744743,0.25017967334626096,3,The Loyal Referrals
-0.013484410000956085,-2.2789898106386994,0,The Strong Starters
1.3684917125856069,-1.167622080715891,3,The Loyal Referrals
1.0302364760530276,-0.08321960952019661,3,The Loyal Referrals
-3.8390231715886025,0.3171433500977636,1,The Early Drop-Offs
0.18960082616310153,1.6647283966998352,2,The Motivated Finishers
0.6294171137452264,1.2165103743706793,2,The Motivated Finishers
